epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,207.915,0.65835,0.6879,0.99984,0.83589,0.72049,0.75395,0.65283,0.68236,0.89281,1.06788,0.000165095,0.000165095,0.000165095
131,209.553,0.73043,0.70305,1.04085,0.7785,0.65364,0.72465,0.6201,0.6772,0.88808,1.05992,0.000157762,0.000157762,0.000157762
132,211.172,0.66692,0.7003,1.02549,0.76456,0.63216,0.70782,0.60833,0.67863,0.89229,1.06935,0.000150429,0.000150429,0.000150429
133,212.942,0.74308,0.73929,1.0697,0.78486,0.63173,0.70448,0.61193,0.69223,0.89128,1.08321,0.000143097,0.000143097,0.000143097
134,214.682,0.67792,0.70013,1.01383,0.79914,0.70729,0.74268,0.64423,0.68473,0.8881,1.07598,0.000135764,0.000135764,0.000135764
135,216.403,0.6689,0.69378,1.0075,0.85796,0.68217,0.74644,0.64861,0.67854,0.90039,1.07242,0.000128432,0.000128432,0.000128432
136,218.14,0.70182,0.72509,1.03625,0.8271,0.69564,0.74522,0.63999,0.67098,0.9107,1.05738,0.000121099,0.000121099,0.000121099
137,219.852,0.64538,0.66684,0.98147,0.78898,0.70774,0.73464,0.63995,0.65524,0.91064,1.04135,0.000113766,0.000113766,0.000113766
138,221.652,0.66978,0.70959,1.01134,0.78773,0.70636,0.73889,0.64536,0.64092,0.89374,1.02762,0.000106434,0.000106434,0.000106434
139,223.366,0.63963,0.66405,0.98627,0.79641,0.69809,0.73974,0.64724,0.65201,0.88666,1.0378,9.91012e-05,9.91012e-05,9.91012e-05
140,225.182,0.67995,0.68074,0.99734,0.78324,0.71119,0.74627,0.64709,0.66131,0.8694,1.04068,9.17686e-05,9.17686e-05,9.17686e-05
141,246.067,0.60672,0.64746,0.96939,0.82371,0.68809,0.74638,0.64549,0.67696,0.86645,1.05565,8.4436e-05,8.4436e-05,8.4436e-05
142,247.558,0.61963,0.65419,0.97475,0.82231,0.6791,0.73941,0.64226,0.67905,0.86377,1.05782,7.71034e-05,7.71034e-05,7.71034e-05
143,249.126,0.61439,0.66317,0.97842,0.81133,0.68477,0.73199,0.63893,0.67158,0.87014,1.04605,6.97708e-05,6.97708e-05,6.97708e-05
144,250.625,0.6144,0.62966,0.96716,0.80348,0.6889,0.72995,0.6376,0.67716,0.88384,1.05354,6.24382e-05,6.24382e-05,6.24382e-05
145,252.116,0.61727,0.64009,0.97463,0.79337,0.69348,0.72903,0.63905,0.68132,0.89366,1.059,5.51056e-05,5.51056e-05,5.51056e-05
146,253.614,0.62686,0.66143,1.00158,0.79619,0.69139,0.7266,0.63466,0.6799,0.89578,1.04983,4.7773e-05,4.7773e-05,4.7773e-05
147,255.155,0.60545,0.63963,0.96661,0.76817,0.69407,0.72317,0.63243,0.67424,0.90152,1.05103,4.04404e-05,4.04404e-05,4.04404e-05
148,256.826,0.60029,0.61042,0.96704,0.76652,0.69105,0.71956,0.63148,0.67758,0.90432,1.05536,3.31078e-05,3.31078e-05,3.31078e-05
149,258.424,0.59543,0.62929,0.99369,0.76004,0.69305,0.71909,0.62803,0.67814,0.90535,1.0553,2.57752e-05,2.57752e-05,2.57752e-05
150,259.968,0.62104,0.63299,0.98599,0.75354,0.69394,0.71762,0.62537,0.68268,0.90583,1.05923,1.84426e-05,1.84426e-05,1.84426e-05
