epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,242.763,0.74459,0.6907,1.08811,0.77458,0.69651,0.72996,0.64836,0.6521,0.83415,1.00903,0.000577553,0.000577553,0.000577553
99,245.273,0.71374,0.67964,1.04448,0.83539,0.69321,0.71676,0.64837,0.64619,0.85611,1.01296,0.000572054,0.000572054,0.000572054
100,247.611,0.69267,0.65404,1.02789,0.76939,0.69564,0.7148,0.6426,0.65762,0.90672,1.01603,0.000566554,0.000566554,0.000566554
101,250.32,0.71223,0.63773,1.03963,0.76986,0.66551,0.71022,0.63816,0.67559,0.91967,1.03545,0.000561055,0.000561055,0.000561055
102,252.595,0.69737,0.64612,1.02951,0.78687,0.66058,0.72533,0.65035,0.6486,0.90302,1.02319,0.000555556,0.000555556,0.000555556
103,255.018,0.69327,0.6643,1.03267,0.79652,0.69762,0.72911,0.64664,0.67881,0.89731,1.02569,0.000550056,0.000550056,0.000550056
104,257.628,0.69853,0.64382,1.03577,0.73765,0.69199,0.73372,0.65681,0.67774,0.8874,1.04094,0.000544557,0.000544557,0.000544557
105,260.132,0.69713,0.63714,1.02789,0.65032,0.73554,0.72589,0.64983,0.65587,0.88749,1.03325,0.000539057,0.000539057,0.000539057
106,262.573,0.72228,0.65984,1.0394,0.64314,0.75279,0.70957,0.62502,0.64523,0.86152,1.03505,0.000533558,0.000533558,0.000533558
107,264.895,0.69941,0.63277,1.01517,0.67125,0.73176,0.71024,0.627,0.61168,0.83517,1.01438,0.000528058,0.000528058,0.000528058
108,267.158,0.71201,0.6587,1.02561,0.71168,0.65939,0.71322,0.6214,0.64451,0.8746,1.02218,0.000522559,0.000522559,0.000522559
109,269.627,0.69665,0.65144,1.02988,0.70739,0.66076,0.72215,0.62753,0.6562,0.87503,1.03531,0.000517059,0.000517059,0.000517059
110,271.962,0.64986,0.6049,0.98955,0.7122,0.70854,0.71875,0.62582,0.69008,0.8992,1.05002,0.00051156,0.00051156,0.00051156
111,274.255,0.65173,0.58245,0.98001,0.75908,0.68882,0.72234,0.64594,0.69709,0.85833,1.04972,0.00050606,0.00050606,0.00050606
112,276.538,0.6813,0.66417,1.03225,0.67083,0.72177,0.71388,0.63509,0.65763,0.84149,1.02623,0.000500561,0.000500561,0.000500561
113,278.931,0.70214,0.66591,1.03942,0.63785,0.7654,0.71177,0.63431,0.65557,0.84989,1.02867,0.000495062,0.000495062,0.000495062
114,281.238,0.68147,0.62341,1.02335,0.80002,0.60847,0.71162,0.61538,0.68309,0.86924,1.0642,0.000489562,0.000489562,0.000489562
115,284.039,0.68167,0.66372,1.02848,0.81489,0.60562,0.70173,0.60812,0.6565,0.85613,1.0264,0.000484063,0.000484063,0.000484063
116,286.635,0.67482,0.61444,1.00837,0.77848,0.60064,0.68397,0.61209,0.66716,0.90992,1.03665,0.000478563,0.000478563,0.000478563
117,289.062,0.6717,0.62128,1.00955,0.83942,0.64057,0.72628,0.65582,0.65133,0.91976,1.02828,0.000473064,0.000473064,0.000473064
118,291.536,0.69633,0.6494,1.03842,0.79115,0.67885,0.7527,0.66565,0.66877,0.88973,1.05396,0.000467564,0.000467564,0.000467564
119,293.962,0.63858,0.60219,0.99395,0.82427,0.68205,0.75393,0.66266,0.68054,0.87028,1.06965,0.000462065,0.000462065,0.000462065
120,296.38,0.6717,0.63119,1.04291,0.86889,0.68718,0.76305,0.66866,0.68295,0.84685,1.07082,0.000456565,0.000456565,0.000456565
121,298.985,0.66455,0.61441,1.00643,0.82569,0.60496,0.71367,0.62678,0.6692,0.82208,1.06471,0.000451066,0.000451066,0.000451066
122,301.284,0.6279,0.58809,0.99672,0.65524,0.72722,0.71785,0.63826,0.66,0.87225,1.04381,0.000445567,0.000445567,0.000445567
123,303.559,0.66411,0.63455,1.03612,0.82729,0.67602,0.7459,0.66765,0.64912,0.90977,1.03602,0.000440067,0.000440067,0.000440067
124,306.024,0.67195,0.61651,1.01968,0.78911,0.69781,0.74231,0.66326,0.65601,0.92677,1.04373,0.000434568,0.000434568,0.000434568
125,308.414,0.64738,0.57945,1.00378,0.78261,0.69986,0.73164,0.66442,0.63594,0.92496,1.03169,0.000429068,0.000429068,0.000429068
126,310.741,0.65836,0.61095,1.01403,0.7933,0.70342,0.73535,0.66358,0.62964,0.90632,1.02206,0.000423569,0.000423569,0.000423569
127,313.031,0.67221,0.63878,1.02041,0.84633,0.6751,0.74485,0.66758,0.63198,0.87633,1.02669,0.000418069,0.000418069,0.000418069
128,315.258,0.64795,0.61822,1.01758,0.83007,0.63418,0.7272,0.64251,0.64897,0.83145,1.04499,0.00041257,0.00041257,0.00041257
129,318.083,0.624,0.59855,0.98105,0.82949,0.65254,0.72892,0.63925,0.65068,0.84339,1.05429,0.00040707,0.00040707,0.00040707
130,320.732,0.65781,0.62389,1.02165,0.75212,0.70135,0.72869,0.64598,0.66455,0.90457,1.07842,0.000401571,0.000401571,0.000401571
131,323.053,0.64389,0.61021,1.01826,0.8659,0.69457,0.74274,0.65991,0.66037,0.87048,1.0562,0.000396071,0.000396071,0.000396071
132,325.511,0.6191,0.55463,0.97428,0.78241,0.70691,0.73617,0.65021,0.64454,0.85989,1.04659,0.000390572,0.000390572,0.000390572
133,327.842,0.65356,0.61159,1.00113,0.76637,0.70387,0.7128,0.63258,0.65455,0.8308,1.04259,0.000385073,0.000385073,0.000385073
134,330.172,0.65839,0.6149,1.024,0.66539,0.73635,0.71056,0.62228,0.63722,0.80707,1.03777,0.000379573,0.000379573,0.000379573
135,332.456,0.62746,0.58536,0.99412,0.67679,0.73778,0.70981,0.62703,0.63248,0.8024,1.01466,0.000374074,0.000374074,0.000374074
136,335.103,0.65083,0.58851,1.01452,0.60876,0.76718,0.70501,0.61383,0.63437,0.80893,1.03186,0.000368574,0.000368574,0.000368574
137,337.583,0.62393,0.58763,0.9948,0.80711,0.61043,0.70411,0.61054,0.65719,0.84045,1.04591,0.000363075,0.000363075,0.000363075
138,340.134,0.62092,0.56509,0.98076,0.80943,0.70888,0.74014,0.65462,0.64766,0.86533,1.04654,0.000357575,0.000357575,0.000357575
139,342.582,0.63834,0.56282,0.99671,0.83894,0.69767,0.75124,0.67432,0.62242,0.8644,1.01203,0.000352076,0.000352076,0.000352076
140,344.942,0.65935,0.60023,1.02048,0.80328,0.70288,0.74935,0.67272,0.60349,0.85118,0.99889,0.000346576,0.000346576,0.000346576
141,347.522,0.63929,0.59679,1.0116,0.84992,0.68394,0.74225,0.66603,0.61358,0.84559,0.99698,0.000341077,0.000341077,0.000341077
142,349.877,0.66238,0.58488,1.00322,0.72617,0.71979,0.70676,0.62477,0.62143,0.83509,1.01319,0.000335578,0.000335578,0.000335578
143,352.383,0.63201,0.59702,1.01838,0.77096,0.62791,0.69987,0.61154,0.62193,0.82539,1.02717,0.000330078,0.000330078,0.000330078
144,354.757,0.64005,0.56635,1.02051,0.77336,0.63974,0.7002,0.6065,0.63372,0.86719,1.03775,0.000324579,0.000324579,0.000324579
145,357.125,0.63026,0.5587,0.99344,0.78317,0.62222,0.67438,0.58089,0.63003,0.89882,1.03894,0.000319079,0.000319079,0.000319079
146,359.661,0.57405,0.53409,0.97251,0.68904,0.66948,0.64998,0.55937,0.63162,0.89222,1.03731,0.00031358,0.00031358,0.00031358
147,362.309,0.63138,0.56902,0.99561,0.6898,0.67731,0.67697,0.58322,0.6401,0.88817,1.04513,0.00030808,0.00030808,0.00030808
148,365.152,0.63991,0.56644,0.99828,0.68759,0.68235,0.70372,0.61965,0.62597,0.8555,1.04172,0.000302581,0.000302581,0.000302581
149,367.465,0.64176,0.57115,1.00613,0.6916,0.74811,0.70777,0.62907,0.61993,0.86862,1.03284,0.000297081,0.000297081,0.000297081
150,369.729,0.63372,0.59398,1.01867,0.7248,0.69002,0.70451,0.6231,0.64409,0.86292,1.03411,0.000291582,0.000291582,0.000291582
151,372.22,0.61363,0.57339,1.012,0.70567,0.68962,0.69125,0.6077,0.64176,0.86496,1.02991,0.000286083,0.000286083,0.000286083
152,374.615,0.62694,0.5354,0.99807,0.71006,0.67784,0.68794,0.60622,0.6286,0.84998,1.02872,0.000280583,0.000280583,0.000280583
153,377.042,0.62728,0.54361,0.99698,0.72147,0.65191,0.6941,0.60679,0.62565,0.86066,1.03425,0.000275084,0.000275084,0.000275084
154,379.418,0.62312,0.53925,0.99773,0.65681,0.73612,0.68996,0.60851,0.62734,0.87347,1.03152,0.000269584,0.000269584,0.000269584
155,381.741,0.60177,0.53229,0.98955,0.67422,0.72985,0.69428,0.61524,0.63544,0.86925,1.03016,0.000264085,0.000264085,0.000264085
156,384.257,0.60855,0.50279,0.97532,0.77439,0.6026,0.67895,0.61135,0.62774,0.88349,1.01948,0.000258585,0.000258585,0.000258585
157,386.64,0.59434,0.52986,0.97798,0.66689,0.70185,0.68849,0.61525,0.59984,0.87363,1.00508,0.000253086,0.000253086,0.000253086
158,388.919,0.5584,0.50611,0.96488,0.64737,0.72151,0.68878,0.61405,0.61512,0.87172,1.01361,0.000247586,0.000247586,0.000247586
159,391.342,0.60539,0.55799,1.00492,0.69358,0.63592,0.68473,0.60522,0.6273,0.85551,1.02081,0.000242087,0.000242087,0.000242087
160,393.813,0.63565,0.57222,1.01698,0.67694,0.7267,0.70004,0.62249,0.6157,0.8359,1.02725,0.000236587,0.000236587,0.000236587
161,396.429,0.63841,0.56821,1.00668,0.72664,0.74295,0.71909,0.6347,0.61713,0.82396,1.0324,0.000231088,0.000231088,0.000231088
162,398.96,0.59823,0.5399,0.99566,0.77,0.72122,0.73984,0.66024,0.63157,0.83803,1.04114,0.000225589,0.000225589,0.000225589
163,401.594,0.60246,0.52212,0.97673,0.68253,0.74179,0.72412,0.64086,0.60229,0.83371,1.01111,0.000220089,0.000220089,0.000220089
164,403.958,0.59227,0.53197,0.98199,0.70064,0.65342,0.71342,0.63044,0.60667,0.84779,1.01095,0.00021459,0.00021459,0.00021459
165,406.448,0.59801,0.51977,0.97897,0.69434,0.66575,0.7032,0.62574,0.61165,0.85249,1.01463,0.00020909,0.00020909,0.00020909
166,408.86,0.5895,0.53215,0.99518,0.68514,0.6678,0.70763,0.62642,0.60544,0.83802,1.01287,0.000203591,0.000203591,0.000203591
167,411.245,0.60071,0.52719,0.98914,0.72618,0.65149,0.70315,0.62825,0.60627,0.83699,1.03003,0.000198091,0.000198091,0.000198091
168,413.812,0.58953,0.51967,0.97713,0.69861,0.64272,0.70168,0.62191,0.60926,0.84178,1.03146,0.000192592,0.000192592,0.000192592
169,416.181,0.62505,0.56332,1.01158,0.73142,0.65428,0.71316,0.62223,0.62775,0.85734,1.03789,0.000187092,0.000187092,0.000187092
170,418.873,0.63014,0.55385,1.00515,0.74382,0.6556,0.71422,0.62328,0.63029,0.85386,1.04454,0.000181593,0.000181593,0.000181593
171,421.555,0.58862,0.51211,0.95795,0.76533,0.62901,0.71662,0.62718,0.61845,0.84521,1.03317,0.000176094,0.000176094,0.000176094
172,423.913,0.60017,0.53065,0.98104,0.78401,0.62163,0.70713,0.62406,0.61546,0.83855,1.03293,0.000170594,0.000170594,0.000170594
173,426.47,0.59135,0.52645,0.97412,0.74145,0.62196,0.70019,0.61804,0.61652,0.83003,1.03049,0.000165095,0.000165095,0.000165095
174,428.985,0.58401,0.50576,0.99026,0.72288,0.63348,0.69791,0.62122,0.60589,0.81755,1.02708,0.000159595,0.000159595,0.000159595
175,431.387,0.58419,0.52373,0.98252,0.71255,0.62791,0.68841,0.6154,0.60571,0.81249,1.02722,0.000154096,0.000154096,0.000154096
176,433.917,0.58232,0.522,0.97025,0.71662,0.64518,0.68845,0.61698,0.6088,0.80416,1.0274,0.000148596,0.000148596,0.000148596
177,436.286,0.5854,0.51902,0.97559,0.71899,0.65356,0.68749,0.62023,0.61295,0.81612,1.02399,0.000143097,0.000143097,0.000143097
178,438.742,0.6,0.53756,0.99289,0.73106,0.64644,0.68821,0.62269,0.61401,0.82826,1.02943,0.000137597,0.000137597,0.000137597
179,441.209,0.58265,0.5262,0.9743,0.73084,0.64182,0.69207,0.62441,0.61859,0.83283,1.03421,0.000132098,0.000132098,0.000132098
180,443.651,0.55655,0.48748,0.95379,0.7215,0.64988,0.69485,0.62695,0.61668,0.82534,1.03378,0.000126598,0.000126598,0.000126598
181,446.286,0.55234,0.48658,0.95424,0.71598,0.64982,0.69207,0.62419,0.59856,0.81616,1.02594,0.000121099,0.000121099,0.000121099
